Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) 
820,2010-01-01,,6.2,11.1,-5.3,-3.4,-13.9,-8.9,34,3.1,5,6.1,-0.4,-0.1,0.9,0.1,0.2,0.1,4.87,5.51,5.89,12.82
820,2010-01-02,,6.2,11.1,-2.5,3.5,-6.1,-2.3,33,2.8,4.8,5.9,-0.4,-0.1,0.9,0.2,0.2,0.1,4.76,5.45,5.8,12.82
820,2010-01-03,,6.2,11.1,-7.9,1.8,-8,-2.8,32,3,5,5.8,-0.3,-0.1,0.9,0.2,0.2,0.2,4.82,5.5,5.77,12.8
820,2010-01-04,,6.2,11.1,-7.2,0.5,-9.6,-5.9,31,3.1,5.2,5.8,-0.3,0,0.9,0.2,0.2,0.2,4.87,5.59,5.78,12.78
820,2010-01-05,,6.3,11.2,-0.8,5.8,-7.4,-1.7,30,3.4,5.1,5.9,-0.3,0,0.9,0.1,0.2,0.1,4.96,5.54,5.8,12.8
820,2010-01-06,,6.3,11.2,0.7,3.3,-3.3,0,30,3.3,5.3,5.7,-0.3,0,0.9,0.2,0.2,0.2,4.93,5.61,5.76,12.8
820,2010-01-07,,6.3,11.2,-4.5,1.2,-5.6,-1.4,29,3.3,5.5,5.7,-0.3,0,0.9,0.2,0.2,0.2,4.93,5.68,5.76,12.79
820,2010-01-08,,6.3,11.2,-9.3,-2.8,-12.4,-7.4,29,3.3,5.6,5.8,-0.2,0,0.9,0.2,0.2,0.2,4.92,5.74,5.77,12.76
820,2010-01-09,,6.3,11.2,-2.7,3.8,-10.4,-3.6,29,3.3,5.7,5.8,-0.2,0,0.9,0.2,0.2,0.1,4.91,5.77,5.8,12.79
820,2010-01-10,,6.4,11.3,-2.8,4.3,-3.7,-0.9,29,3.4,6,5.8,-0.3,0,0.9,0.2,0.2,0.2,4.95,5.86,5.77,12.8
820,2010-01-11,,6.4,11.3,-1.7,6.3,-4.2,-1.2,29,3.4,6.1,5.7,-0.3,0,0.9,0.2,0.2,0.2,4.95,5.91,5.76,12.78
820,2010-01-12,,6.4,11.3,0.1,8.9,-3.6,0.9,28,3.4,6.1,5.8,-0.3,0,0.9,0.2,0.2,0.1,4.94,5.89,5.8,12.78
820,2010-01-13,,6.4,11.3,-1,8,-1.2,2.5,28,3.5,6.4,5.7,-0.3,0,0.9,0.2,0.2,0.2,4.99,6,5.76,12.79
820,2010-01-14,,6.4,11.3,-2.5,7,-2.9,0.3,28,3.6,6.3,5.9,-0.3,0,0.9,0.1,0.2,0.1,5.01,5.99,5.82,12.8
820,2010-01-15,,6.4,11.3,-8,2.4,-8.3,-3.5,28,3.4,6.8,6,-0.2,0,0.9,0.1,0.2,0.1,4.97,6.16,5.87,12.78
820,2010-01-16,,6.4,11.3,-0.1,3.9,-8.8,-2.4,27,3.5,6.9,5.9,-0.2,0,0.9,0.2,0.2,0.2,4.98,6.18,5.83,12.78
820,2010-01-17,,6.4,11.3,0.2,8.7,-0.8,2.3,27,3.5,7.3,5.7,-0.3,0,0.9,0.2,0.1,0.1,5,6.32,5.75,12.8
820,2010-01-18,,6.4,11.3,-0.7,6.2,-3,0.1,27,3.7,7.1,5.8,-0.2,0,0.9,0.1,0.2,0.2,5.06,6.28,5.78,12.8
820,2010-01-19,,7.3,12.1,-3,-0.3,-4,-2.5,36,3.4,7.5,5.6,-0.2,0,0.9,0.2,0.2,0.2,4.95,6.4,5.69,12.78
820,2010-01-20,,8.3,13,-4.3,1.5,-4.7,-3,40,3.4,7.5,5.9,-0.2,0,0.9,0.2,0.2,0.1,4.97,6.43,5.8,12.8
820,2010-01-21,,8.6,13.4,-4.8,-2,-6.5,-4.5,43,3.7,7.7,5.7,-0.2,0,0.9,0.1,0.2,0.1,5.05,6.49,5.74,12.8
820,2010-01-22,,9.5,14.3,-3.9,0.6,-5.1,-3.6,48,3.8,8.4,6.1,-0.2,0,0.9,0.1,0.2,0.1,5.1,6.73,5.89,12.81
820,2010-01-23,,11.3,15.8,-5.8,-3,-6.4,-4.7,62,3.9,8.9,5.7,-0.2,0,0.9,0.2,0.1,0.2,5.13,6.93,5.76,12.63
820,2010-01-24,,11.5,15.9,-8,-4.4,-8,-6.9,60,4,9,5.8,-0.1,0.1,0.9,0.2,0.2,0.1,5.15,6.96,5.78,12.83
820,2010-01-25,,11.5,15.9,-11.1,-4.6,-12.2,-8.5,58,4.3,9.5,5.8,-0.1,0.1,0.9,0.1,0.2,0.2,5.27,7.15,5.78,12.8
820,2010-01-26,,11.6,16,-5.1,1.2,-11.4,-6.2,55,4.2,10.1,5.9,-0.1,0.1,0.9,0.1,0.1,0.1,5.25,7.4,5.81,12.8
820,2010-01-27,,12,16.4,-3.9,1.5,-6.1,-3,56,4.2,10.5,5.7,-0.1,0.1,0.9,0.2,0.1,0.2,5.23,7.55,5.73,12.81
820,2010-01-28,,12.2,16.5,-4.2,0.1,-5.2,-3.2,56,4.3,10.8,5.7,-0.1,0.1,0.9,0.2,0.1,0.2,5.26,7.67,5.73,12.81
820,2010-01-29,,12.2,16.6,-8.2,-1.6,-8.9,-5.7,56,4.3,11.1,5.5,-0.1,0.1,0.9,0.2,0.1,0.2,5.25,7.8,5.68,12.79
820,2010-01-30,,12.2,16.6,-5.6,5,-9.6,-4.4,54,4.5,11.4,5.9,-0.1,0.1,0.9,0.1,0.1,0.1,5.33,7.92,5.8,12.81
820,2010-01-31,,12.7,17,-3.5,3.7,-6.8,-2.5,56,4.5,11.6,5.7,-0.1,0.1,0.9,0.2,0.1,0.2,5.33,8.01,5.75,12.82
820,2010-02-01,,12.8,17.1,-5.5,2.1,-5.6,-4,56,4.5,12.2,6.1,-0.1,0.1,0.9,0.2,0.1,0.1,5.33,8.25,5.88,12.8
820,2010-02-02,,12.8,17.1,-6.8,0.1,-9,-5.3,55,4.5,12.3,5.8,-0.1,0.1,0.9,0.2,0.1,0.1,5.32,8.3,5.79,12.77
820,2010-02-03,,12.8,17.1,-3.3,6.6,-7.1,-1.9,54,4.7,12.4,5.5,-0.1,0.1,0.9,0.2,0.1,0.2,5.42,8.32,5.67,12.78
820,2010-02-04,,12.8,17.1,-4.6,4.9,-5.3,-1.8,53,4.8,12.4,5.6,-0.1,0.1,0.9,0.2,0.1,0.2,5.43,8.33,5.72,12.8
820,2010-02-05,,12.8,17.1,-4.7,1.6,-6.8,-3.5,52,5,12.4,5.9,-0.1,0.1,0.9,0.1,0.1,0.1,5.52,8.32,5.8,12.78
820,2010-02-06,,13.1,17.3,-0.7,0.9,-4.8,-1.9,52,5,12.5,5.6,-0.1,0.1,0.9,0.1,0.1,0.2,5.5,8.35,5.72,12.8
820,2010-02-07,,13.3,17.5,-3,1.9,-3.1,-1.3,53,5,12.5,6.1,-0.1,0.1,0.9,0.2,0.1,0.1,5.52,8.36,5.89,12.81
820,2010-02-08,,13.3,17.5,-8,2.3,-8,-3.7,53,5,12.6,5.7,-0.1,0.1,0.9,0.2,0.1,0.2,5.52,8.41,5.73,12.79
820,2010-02-09,,13.3,17.5,-10.2,0.8,-10.9,-6.8,53,5.2,12.6,5.7,-0.1,0.2,0.9,0.1,0.1,0.2,5.57,8.41,5.73,12.76
820,2010-02-10,,13.3,17.5,-8.3,0.2,-11.9,-7.4,52,5.2,12.6,5.6,0,0.2,0.9,0.2,0.1,0.2,5.57,8.41,5.71,12.75
820,2010-02-11,,13.3,17.6,-4.3,1.1,-9.8,-4.9,51,5.1,12.9,6,0,0.2,0.9,0.2,0.1,0.1,5.55,8.55,5.85,12.77
820,2010-02-12,,13.4,17.7,-6,0.5,-6,-3.9,51,5.7,12.7,5.4,-0.1,0.2,0.9,0.1,0.1,0.2,5.77,8.46,5.64,12.8
