,Sample_ID,Latitude,Longitude,Elev.m,Depth.cm,d18O,dD,d.ex,ug.L
0,R34a,40.389140000000005,-111.64125,3251,0,-15.229657690197179,-113.89641443818813,7.940847083389316,176.74300093478584
1,R34b,40.389140000000005,-111.64125,3251,8,-15.124570505562687,-115.5370065985337,5.459557445967832,113.26698634859764
2,R34c,40.389140000000005,-111.64125,3251,16,-16.86239229834127,-129.07099987126034,5.828138515469817,43.372172277894414
3,R34d,40.389140000000005,-111.64125,3251,24,-15.485141830224311,-115.17496993069985,8.70616471109463,191.3492442646029
4,R34e,40.389140000000005,-111.64125,3251,32,-14.129953973517711,-105.56925168546749,7.4703801026741985,15.586025825636387
5,R34f,40.389140000000005,-111.64125,3251,40,-14.094479559912589,-103.29049586111464,9.465340618186062,19.99620184534998
6,R34g,40.389140000000005,-111.64125,3251,48,-13.865149506198547,-102.88806657505779,8.033129474530583,13.859569874315673
7,R34h,40.389140000000005,-111.64125,3251,56,-14.517932776831787,-106.5890165719656,9.554445642688703,23.61472709816671
8,R34i,40.389140000000005,-111.64125,3251,64,-14.77154649882495,-109.93176584979359,8.240606140806007,22.29047354923088
9,R34j,40.389140000000005,-111.64125,3251,72,-14.849164303094629,-110.11838281545825,8.674931609298769,34.78585043733533
10,R34k,40.389140000000005,-111.64125,3251,80,-15.050078413414063,-112.34417270733812,8.056454599974387,17.086324101235093
11,R34l,40.389140000000005,-111.64125,3251,88,-14.934563176054244,-110.85542104581994,8.621084362614058,45.82577218621427
12,R34m,40.389140000000005,-111.64125,3251,96,-14.994675803578739,-110.90429982433477,9.053106604295136,18.277603299452906
13,R34n,40.389140000000005,-111.64125,3251,104,-15.567832133026213,-115.92373505859604,8.618922005613655,37.633373767112474
14,R34o,40.389140000000005,-111.64125,3251,112,-16.26162311040675,-121.44727047781707,8.645714405436905,16.19351931713365
15,R34p,40.389140000000005,-111.64125,3251,120,-16.11794439455199,-119.94864054235437,8.994914614061543,24.08374354275421
16,R34q,40.389140000000005,-111.64125,3251,128,-16.18745284519527,-120.14550209373265,9.354120667829532,17.413086661090862
17,R34r,40.389140000000005,-111.64125,3251,136,-14.955030498880081,-110.2868881512759,9.353355839764744,10.093545150012561
