

Utah (PST) SNOTEL Site Timpanogos Divide - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Mon Nov 25 14:58:54 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,
820,2013-01-01,,     9.5,    11.8,   -18.3,    -7.4,   -18.2,   -14.0,      33,     9.5,    16.2,     3.2,     0.8,     1.3,     2.3,     0.1,     0.1,     0.2,    5.83,    9.92,    4.88,   12.69,
820,2013-01-02,,     9.5,    11.8,   -14.1,    -3.8,   -18.3,   -13.0,      33,     9.0,    15.8,     3.7,     0.8,     1.3,     2.3,     0.1,     0.1,     0.2,    5.76,    9.74,    5.03,   12.73,
820,2013-01-03,,     9.5,    11.8,   -10.3,    -2.0,   -16.3,    -9.9,      32,     8.6,    15.6,     3.8,     0.8,     1.3,     2.2,     0.1,     0.1,     0.2,    6.80,    9.66,    5.08,   12.74,
820,2013-01-04,,     9.5,    11.8,    -6.4,     0.7,   -13.6,    -7.1,      31,     8.8,    15.8,     3.5,     0.8,     1.3,     2.2,     0.1,     0.1,     0.2,    6.89,    9.75,    4.97,   12.74,
820,2013-01-05,,     9.5,    11.8,    -8.3,     2.5,    -9.3,    -4.7,      32,     8.8,    15.9,     3.6,     0.8,     1.3,     2.2,     0.1,     0.1,     0.2,    6.88,    9.81,    4.99,   12.74,
820,2013-01-06,,     9.5,    11.8,    -3.6,     3.7,    -9.9,    -3.8,      31,     8.5,    16.0,     4.2,     0.7,     1.3,     2.2,     0.1,     0.1,     0.1,    6.78,    9.86,    5.19,   12.75,
820,2013-01-07,,     9.5,    11.8,    -5.9,     1.8,    -5.7,    -1.7,      31,     7.9,    15.7,     4.2,     0.7,     1.2,     2.2,     0.1,     0.1,     0.1,    6.55,    9.70,    5.20,   12.77,
820,2013-01-08,,     9.5,    11.8,    -6.0,     6.3,    -6.7,    -2.3,      31,     8.4,    15.2,     4.1,     0.7,     1.2,     2.2,     0.1,     0.2,     0.1,    6.75,    9.47,    5.17,   12.76,
820,2013-01-09,,     9.5,    11.8,    -5.8,     3.6,    -7.0,    -3.5,      30,     8.2,    15.3,     4.0,     0.7,     1.2,     2.1,     0.1,     0.2,     0.2,    6.68,    9.53,    5.15,   12.76,
820,2013-01-10,,     9.5,    11.8,     3.1,     7.8,    -6.1,     1.0,      30,     7.8,    15.4,     4.1,     0.7,     1.2,     2.1,     0.1,     0.1,     0.2,    6.52,    9.60,    5.16,   12.77,
820,2013-01-11,,     9.7,    12.0,   -11.1,     3.8,   -11.1,    -3.1,      37,     8.4,    15.7,     4.8,     0.7,     1.2,     2.1,     0.1,     0.1,     0.1,    6.72,    9.72,    5.40,   12.61,
820,2013-01-12,,     9.7,    12.0,   -15.6,   -11.1,   -15.9,   -13.6,      36,     8.3,    15.8,     3.9,     0.7,     1.2,     2.1,     0.1,     0.1,     0.2,    6.72,    9.77,    5.09,   12.75,
820,2013-01-13,,     9.7,    12.0,   -20.5,   -11.2,   -21.1,   -16.8,      35,     8.4,    15.6,     4.6,     0.7,     1.2,     2.1,     0.1,     0.1,     0.1,    6.72,    9.67,    5.33,   12.72,
820,2013-01-14,,     9.7,    12.0,   -23.5,   -14.2,   -24.1,   -20.8,      35,     7.6,    15.6,     4.7,     0.7,     1.2,     2.1,     0.1,     0.1,     0.1,    6.44,    9.69,    5.38,   12.68,
820,2013-01-15,,     9.7,    12.0,   -20.8,   -14.1,   -24.7,   -20.9,      35,     8.2,    15.5,     3.5,     0.7,     1.2,     2.1,     0.1,     0.1,     0.2,    6.67,    9.61,    4.98,   12.71,
820,2013-01-16,,     9.7,    12.0,   -16.0,    -9.1,   -20.8,   -15.5,      33,     7.8,    14.6,     4.1,     0.7,     1.2,     2.1,     0.1,     0.2,     0.2,    6.51,    9.22,    5.17,   12.73,
820,2013-01-17,,     9.7,    12.0,    -2.3,     0.7,   -16.9,    -6.8,      35,     7.7,    15.3,     3.4,     0.6,     1.1,     2.1,     0.1,     0.1,     0.2,    6.48,    9.56,    4.94,   12.76,
820,2013-01-18,,     9.7,    12.0,    -3.2,     6.0,    -3.9,    -0.4,      34,     7.0,    15.1,     4.2,     0.6,     1.1,     2.0,     0.1,     0.1,     0.1,    6.22,    9.46,    5.22,   12.75,
820,2013-01-19,,     9.7,    12.0,    -3.9,     9.5,    -5.0,    -1.2,      34,     7.3,    15.1,     4.0,     0.6,     1.1,     2.0,     0.1,     0.1,     0.2,    6.34,    9.46,    5.13,   12.75,
820,2013-01-20,,     9.7,    12.0,    -3.2,     5.3,    -5.8,    -1.5,      34,     7.1,    14.9,     4.1,     0.6,     1.1,     2.0,     0.1,     0.1,     0.2,    6.25,    9.36,    5.18,   12.74,
820,2013-01-21,,     9.7,    12.0,    -4.1,     7.1,    -5.4,    -1.9,      34,     7.1,    15.0,     4.1,     0.5,     1.1,     2.0,     0.1,     0.1,     0.2,    6.27,    9.40,    5.18,   12.74,
820,2013-01-22,,     9.7,    12.0,    -3.6,     6.9,    -5.0,    -0.6,      34,     7.3,    14.5,     4.2,     0.5,     1.1,     2.0,     0.1,     0.2,     0.2,    6.33,    9.18,    5.22,   12.74,
820,2013-01-23,,     9.7,    12.0,     1.1,    10.9,    -3.8,     2.3,      33,     7.3,    15.1,     4.6,     0.5,     1.0,     1.9,     0.1,     0.1,     0.1,    6.34,    9.46,    5.35,   12.75,
820,2013-01-24,,     9.7,    12.0,     4.9,    11.9,     0.5,     4.9,      33,     6.5,    15.0,     4.5,     0.5,     1.0,     1.9,     0.1,     0.1,     0.1,    6.04,    9.40,    5.31,   12.78,
820,2013-01-25,,     9.9,    12.2,    -1.5,     5.4,    -2.2,     0.9,      35,     7.3,    15.1,     3.7,     0.5,     1.0,     1.9,     0.1,     0.1,     0.2,    6.34,    9.45,    5.03,   12.74,
820,2013-01-26,,    10.2,    12.5,    -0.4,     4.3,    -1.8,     0.0,      35,     7.4,    14.3,     4.4,     0.5,     1.0,     1.9,     0.1,     0.2,     0.1,    6.37,    9.09,    5.27,   12.77,
820,2013-01-27,,    10.3,    12.6,    -0.4,     4.6,    -2.3,     0.4,      36,     7.0,    14.2,     4.2,     0.5,     1.0,     1.9,     0.1,     0.2,     0.2,    6.21,    9.06,    5.22,   12.77,
820,2013-01-28,,    11.0,    13.2,    -7.6,     0.5,    -7.6,    -2.5,      36,     6.4,    14.6,     4.5,     0.6,     1.0,     1.9,     0.1,     0.1,     0.1,    6.01,    9.23,    5.32,   12.60,
